n_views,geometry_class,noise_std,n_drones,focal_px,standoff_m,coverage_pct,n_matched,recall,ghost_count,precision,f1,median_err_m,median_err_std,p95_err_m,frame_idx,match_threshold_m,min_spacing,epipolar_threshold_px,intersection_n,intersection_median_err_m
10,mixed,1.0,5,2666.6666666666665,2000.0,100.0,5.0,1.0,0.0,1.0,1.0,0.5351,0.0575,0.8096,0,1.5,3.0,3.0,0,0.0
10,mixed,3.0,5,2666.6666666666665,2000.0,100.0,3.5,0.7,2.0,0.6333,0.6636,0.8898,0.012,1.2849,0,1.5,3.0,3.0,0,0.0
12,mixed,0.0,5,2666.6666666666665,2000.0,100.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
12,mixed,1.0,5,2666.6666666666665,2000.0,100.0,5.0,1.0,0.0,1.0,1.0,0.5867,0.172,0.6698,0,1.5,3.0,3.0,0,0.0
12,mixed,3.0,5,2666.6666666666665,2000.0,100.0,2.0,0.4,3.5,0.35,0.3727,0.9049,0.0288,1.0259,0,1.5,3.0,3.0,0,0.0
2,surround,0.0,5,2666.6666666666665,2000.0,100.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
2,surround,1.0,5,2666.6666666666665,2000.0,100.0,3.0,0.6,1.0,0.6667,0.625,1.107,0.3307,1.3134,0,1.5,3.0,3.0,0,0.0
2,surround,3.0,5,2666.6666666666665,2000.0,100.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
4,surround,0.0,5,2666.6666666666665,2000.0,100.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
4,surround,1.0,5,2666.6666666666665,2000.0,100.0,5.0,1.0,0.0,1.0,1.0,0.6799,0.0873,1.1873,0,1.5,3.0,3.0,0,0.0
4,surround,3.0,5,2666.6666666666665,2000.0,100.0,0.5,0.1,5.5,0.1,0.1,0.4449,0.4449,0.4449,0,1.5,3.0,3.0,0,0.0
6,surround,0.0,5,2666.6666666666665,2000.0,100.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
6,surround,1.0,5,2666.6666666666665,2000.0,100.0,5.0,1.0,0.0,1.0,1.0,0.6429,0.0302,0.8546,0,1.5,3.0,3.0,0,0.0
6,surround,3.0,5,2666.6666666666665,2000.0,100.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
8,surround,0.0,5,2666.6666666666665,2000.0,100.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
8,surround,1.0,5,2666.6666666666665,2000.0,100.0,5.0,1.0,0.0,1.0,1.0,0.6008,0.0921,0.763,0,1.5,3.0,3.0,0,0.0
8,surround,3.0,5,2666.6666666666665,2000.0,100.0,1.5,0.3,4.5,0.25,0.2727,0.58,0.58,0.6943,0,1.5,3.0,3.0,0,0.0
10,surround,0.0,5,2666.6666666666665,2000.0,100.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
10,surround,1.0,5,2666.6666666666665,2000.0,100.0,5.0,1.0,0.0,1.0,1.0,0.4318,0.0126,0.7203,0,1.5,3.0,3.0,0,0.0
10,surround,3.0,5,2666.6666666666665,2000.0,100.0,2.0,0.4,3.5,0.3833,0.3909,1.0842,0.2178,1.2971,0,1.5,3.0,3.0,0,0.0
12,surround,0.0,5,2666.6666666666665,2000.0,100.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
12,surround,1.0,5,2666.6666666666665,2000.0,100.0,5.0,1.0,0.0,1.0,1.0,0.3956,0.0386,0.5494,0,1.5,3.0,3.0,0,0.0
12,surround,3.0,5,2666.6666666666665,2000.0,100.0,3.0,0.6,2.5,0.5667,0.5818,0.8454,0.1264,1.1389,0,1.5,3.0,3.0,0,0.0
2,all_ground,0.0,10,2666.6666666666665,2000.0,100.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
2,all_ground,1.0,10,2666.6666666666665,2000.0,100.0,3.5,0.35,6.0,0.3722,0.3605,0.9773,0.0034,1.3646,0,1.5,3.0,3.0,0,0.0
2,all_ground,3.0,10,2666.6666666666665,2000.0,100.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
4,all_ground,0.0,10,2666.6666666666665,2000.0,100.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
4,all_ground,1.0,10,2666.6666666666665,2000.0,100.0,9.0,0.9,1.0,0.9,0.9,0.8145,0.008,1.0584,0,1.5,3.0,3.0,0,0.0
4,all_ground,3.0,10,2666.6666666666665,2000.0,100.0,0.5,0.05,10.0,0.05,0.05,0.6059,0.6059,0.6059,0,1.5,3.0,3.0,0,0.0
6,all_ground,0.0,10,2666.6666666666665,2000.0,100.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
6,all_ground,1.0,10,2666.6666666666665,2000.0,100.0,10.0,1.0,0.0,1.0,1.0,0.6063,0.0531,0.9693,0,1.5,3.0,3.0,0,0.0
6,all_ground,3.0,10,2666.6666666666665,2000.0,100.0,4.5,0.45,6.5,0.4091,0.4286,1.2947,0.0116,1.4162,0,1.5,3.0,3.0,0,0.0
8,all_ground,0.0,10,2666.6666666666665,2000.0,100.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
8,all_ground,1.0,10,2666.6666666666665,2000.0,100.0,10.0,1.0,0.0,1.0,1.0,0.5165,0.0312,0.9746,0,1.5,3.0,3.0,0,0.0
8,all_ground,3.0,10,2666.6666666666665,2000.0,100.0,4.0,0.4,7.0,0.3583,0.3773,1.0904,0.1511,1.2492,0,1.5,3.0,3.0,0,0.0
10,all_ground,0.0,10,2666.6666666666665,2000.0,100.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
10,all_ground,1.0,10,2666.6666666666665,2000.0,100.0,10.0,1.0,0.0,1.0,1.0,0.5586,0.0632,0.7282,0,1.5,3.0,3.0,0,0.0
10,all_ground,3.0,10,2666.6666666666665,2000.0,100.0,5.5,0.55,7.0,0.4391,0.4881,1.2429,0.0038,1.385,0,1.5,3.0,3.0,0,0.0
12,all_ground,0.0,10,2666.6666666666665,2000.0,100.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
12,all_ground,1.0,10,2666.6666666666665,2000.0,100.0,10.0,1.0,0.0,1.0,1.0,0.4559,0.0397,0.7368,0,1.5,3.0,3.0,0,0.0
12,all_ground,3.0,10,2666.6666666666665,2000.0,100.0,5.5,0.55,5.5,0.5,0.5238,0.8165,0.1185,1.2178,0,1.5,3.0,3.0,0,0.0
2,mixed,0.0,10,2666.6666666666665,2000.0,100.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
2,mixed,1.0,10,2666.6666666666665,2000.0,100.0,7.0,0.7,2.0,0.7778,0.7368,1.1764,0.166,1.3254,0,1.5,3.0,3.0,0,0.0
2,mixed,3.0,10,2666.6666666666665,2000.0,100.0,0.5,0.05,6.0,0.0556,0.0526,0.578,0.578,0.578,0,1.5,3.0,3.0,0,0.0
4,mixed,0.0,10,2666.6666666666665,2000.0,100.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
4,mixed,1.0,10,2666.6666666666665,2000.0,100.0,9.5,0.95,0.5,0.95,0.95,0.7474,0.0239,1.3322,0,1.5,3.0,3.0,0,0.0
4,mixed,3.0,10,2666.6666666666665,2000.0,100.0,2.0,0.2,8.0,0.202,0.2005,1.2132,0.1231,1.3851,0,1.5,3.0,3.0,0,0.0
6,mixed,0.0,10,2666.6666666666665,2000.0,100.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
6,mixed,1.0,10,2666.6666666666665,2000.0,100.0,10.0,1.0,0.0,1.0,1.0,0.561,0.0053,0.8203,0,1.5,3.0,3.0,0,0.0
6,mixed,3.0,10,2666.6666666666665,2000.0,100.0,3.5,0.35,7.0,0.3409,0.3452,1.2886,0.0129,1.375,0,1.5,3.0,3.0,0,0.0
8,mixed,0.0,10,2666.6666666666665,2000.0,100.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
8,mixed,1.0,10,2666.6666666666665,2000.0,100.0,10.0,1.0,0.0,1.0,1.0,0.5377,0.055,0.86,0,1.5,3.0,3.0,0,0.0
8,mixed,3.0,10,2666.6666666666665,2000.0,100.0,3.0,0.3,8.0,0.2833,0.2909,1.0704,0.1402,1.1998,0,1.5,3.0,3.0,0,0.0
10,mixed,0.0,10,2666.6666666666665,2000.0,100.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
10,mixed,1.0,10,2666.6666666666665,2000.0,100.0,10.0,1.0,0.0,1.0,1.0,0.3856,0.0697,0.6843,0,1.5,3.0,3.0,0,0.0
10,mixed,3.0,10,2666.6666666666665,2000.0,100.0,5.0,0.5,6.5,0.4318,0.4632,1.0526,0.1978,1.2653,0,1.5,3.0,3.0,0,0.0
12,mixed,0.0,10,2666.6666666666665,2000.0,100.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
12,mixed,1.0,10,2666.6666666666665,2000.0,100.0,10.0,1.0,0.0,1.0,1.0,0.326,0.065,0.6139,0,1.5,3.0,3.0,0,0.0
12,mixed,3.0,10,2666.6666666666665,2000.0,100.0,7.5,0.75,4.5,0.6329,0.6853,1.0436,0.1418,1.2338,0,1.5,3.0,3.0,0,0.0
2,surround,0.0,10,2666.6666666666665,2000.0,100.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
2,surround,1.0,10,2666.6666666666665,2000.0,100.0,9.5,0.95,0.5,0.95,0.95,0.9809,0.0397,1.347,0,1.5,3.0,3.0,0,0.0
2,surround,3.0,10,2666.6666666666665,2000.0,100.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
4,surround,0.0,10,2666.6666666666665,2000.0,100.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
4,surround,1.0,10,2666.6666666666665,2000.0,100.0,9.5,0.95,0.5,0.95,0.95,0.614,0.0114,1.2293,0,1.5,3.0,3.0,0,0.0
4,surround,3.0,10,2666.6666666666665,2000.0,100.0,1.0,0.1,10.0,0.0909,0.0952,0.6516,0.6516,0.6599,0,1.5,3.0,3.0,0,0.0
6,surround,0.0,10,2666.6666666666665,2000.0,100.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
6,surround,1.0,10,2666.6666666666665,2000.0,100.0,10.0,1.0,0.0,1.0,1.0,0.5786,0.0308,1.0909,0,1.5,3.0,3.0,0,0.0
6,surround,3.0,10,2666.6666666666665,2000.0,100.0,5.0,0.5,7.0,0.4196,0.4555,1.24,0.0653,1.4383,0,1.5,3.0,3.0,0,0.0
8,surround,0.0,10,2666.6666666666665,2000.0,100.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
8,surround,1.0,10,2666.6666666666665,2000.0,100.0,10.0,1.0,0.0,1.0,1.0,0.5245,0.0403,0.8637,0,1.5,3.0,3.0,0,0.0
8,surround,3.0,10,2666.6666666666665,2000.0,100.0,4.0,0.4,7.0,0.3636,0.381,1.0017,0.0434,1.2332,0,1.5,3.0,3.0,0,0.0
10,surround,0.0,10,2666.6666666666665,2000.0,100.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
10,surround,1.0,10,2666.6666666666665,2000.0,100.0,10.0,1.0,0.0,1.0,1.0,0.5041,0.0107,1.0015,0,1.5,3.0,3.0,0,0.0
10,surround,3.0,10,2666.6666666666665,2000.0,100.0,4.0,0.4,7.5,0.3447,0.3701,0.8436,0.0702,1.2878,0,1.5,3.0,3.0,0,0.0
12,surround,0.0,10,2666.6666666666665,2000.0,100.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
12,surround,1.0,10,2666.6666666666665,2000.0,100.0,10.0,1.0,0.0,1.0,1.0,0.4662,0.0461,0.7195,0,1.5,3.0,3.0,0,0.0
12,surround,3.0,10,2666.6666666666665,2000.0,100.0,7.0,0.7,4.0,0.65,0.6727,0.9814,0.143,1.3876,0,1.5,3.0,3.0,0,0.0
2,all_ground,0.0,15,2666.6666666666665,2000.0,100.0,15.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
2,all_ground,1.0,15,2666.6666666666665,2000.0,100.0,7.0,0.4667,8.0,0.4667,0.4667,0.8972,0.0229,1.3505,0,1.5,3.0,3.0,0,0.0
2,all_ground,3.0,15,2666.6666666666665,2000.0,100.0,1.0,0.0667,9.5,0.0955,0.0785,1.2034,0.2338,1.2034,0,1.5,3.0,3.0,0,0.0
4,all_ground,0.0,15,2666.6666666666665,2000.0,100.0,15.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
4,all_ground,1.0,15,2666.6666666666665,2000.0,100.0,14.5,0.9667,0.5,0.9667,0.9667,0.6659,0.0801,1.176,0,1.5,3.0,3.0,0,0.0
4,all_ground,3.0,15,2666.6666666666665,2000.0,100.0,0.5,0.0333,14.5,0.0333,0.0333,0.3775,0.3775,0.3775,0,1.5,3.0,3.0,0,0.0
6,all_ground,0.0,15,2666.6666666666665,2000.0,100.0,15.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
6,all_ground,1.0,15,2666.6666666666665,2000.0,100.0,15.0,1.0,0.0,1.0,1.0,0.5544,0.043,1.175,0,1.5,3.0,3.0,0,0.0
6,all_ground,3.0,15,2666.6666666666665,2000.0,100.0,6.5,0.4333,10.5,0.3924,0.4115,1.0982,0.0181,1.3244,0,1.5,3.0,3.0,0,0.0
8,all_ground,0.0,15,2666.6666666666665,2000.0,100.0,15.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
8,all_ground,1.0,15,2666.6666666666665,2000.0,100.0,15.0,1.0,0.0,1.0,1.0,0.414,0.0709,0.8231,0,1.5,3.0,3.0,0,0.0
8,all_ground,3.0,15,2666.6666666666665,2000.0,100.0,6.0,0.4,14.0,0.3033,0.3448,1.1135,0.0473,1.3857,0,1.5,3.0,3.0,0,0.0
